芎林鄉石潭村富林路一段,2014,1,1,6
芎林鄉石潭村富林路一段,2016,3,0,3
寶山鄉新城村寶新路二段508巷,2014,1,1,0
竹東鎮竹美路2段5巷,2014,1,1,1
竹東鎮竹美路2段5巷,2015,1,0,1
竹東鎮竹美路2段5巷,2017,1,0,1
關西鎮東安里台三線與草圈路,2014,1,1,0
竹北市東海一街與東海一街30巷,2014,1,1,1
新埔鎮巨埔里新龍路936巷,2014,1,1,0
新豐鄉中崙村中崙8-1號前路,2014,1,1,0
湖口鄉中平路二段,2014,6,2,7
湖口鄉中平路二段,2015,5,0,7
湖口鄉中平路二段,2016,7,0,12
湖口鄉中平路二段,2017,4,0,7
湖口鄉榮光路國強街,2014,4,1,6
湖口鄉榮光路國強街,2015,4,0,6
湖口鄉榮光路國強街,2016,2,0,4
芎林鄉秀湖村五和街,2014,2,1,1
關西鎮仁安里台3線56.2K北上車道,2014,1,1,0
關西鎮仁安里台三線56公里100公尺處北向外側車道,2014,1,1,0
寶山鄉寶山路一段290巷,2014,1,1,1
湖口鄉新湖路,2014,11,1,16
湖口鄉新湖路,2015,7,0,10
湖口鄉新湖路,2016,13,0,19
湖口鄉新湖路,2017,8,0,10
竹東鎮中興路一段,2014,22,1,24
竹東鎮中興路一段,2015,17,0,23
竹東鎮中興路一段,2016,26,0,36
竹東鎮中興路一段,2017,17,1,25
竹北市縣政九路,2014,41,1,55
竹北市縣政九路,2015,36,0,53
竹北市縣政九路,2016,56,1,64
竹北市縣政九路,2017,51,0,71
竹東鎮東寧路一段,2014,38,1,51
竹東鎮東寧路一段,2015,17,0,25
竹東鎮東寧路一段,2016,23,0,25
竹東鎮東寧路一段,2017,21,0,28
竹北市中華路1200巷,2014,5,1,7
竹北市中華路1200巷,2016,1,0,1
竹東鎮光明路652巷,2014,2,1,1
竹北市白地街,2014,7,1,12
竹北市白地街,2015,4,0,6
竹北市白地街,2016,3,0,3
竹北市白地街,2017,4,0,5
竹北市博愛街,2014,110,2,150
竹北市博愛街,2015,86,0,113
竹北市博愛街,2016,114,0,150
竹北市博愛街,2017,91,2,111
竹北市自強南路,2014,46,1,54
竹北市自強南路,2015,36,1,42
竹北市自強南路,2016,47,0,59
竹北市自強南路,2017,37,0,41
橫山鄉台三線與新興街,2014,2,1,4
關西鎮國道,2014,15,1,25
關西鎮國道,2015,14,1,33
關西鎮國道,2016,14,1,19
關西鎮國道,2017,14,0,22
寶山鄉山湖村水仙路,2014,1,1,0
寶山鄉國道,2014,14,1,16
寶山鄉國道,2015,12,1,20
寶山鄉國道,2016,25,1,43
寶山鄉國道,2017,12,3,16
竹東鎮國道,2014,2,1,2
竹東鎮國道,2015,1,0,3
竹東鎮國道,2016,6,0,11
竹東鎮國道,2017,3,0,5
新埔鎮文山路亞東段,2014,14,1,15
新埔鎮文山路亞東段,2015,9,0,12
新埔鎮文山路亞東段,2016,9,0,11
新埔鎮文山路亞東段,2017,3,2,1
竹東鎮中正路,2014,10,1,13
竹東鎮中正路,2015,5,0,6
竹東鎮中正路,2016,12,0,14
竹東鎮中正路,2017,8,0,10
新豐鄉建興路二段與452巷,2014,1,1,0
橫山鄉橫山村中豐路一段2巷,2014,1,1,0
湖口鄉中正路二段,2014,15,1,22
湖口鄉中正路二段,2015,13,0,17
湖口鄉中正路二段,2016,16,0,23
湖口鄉中正路二段,2017,6,0,8
橫山鄉橫山村5鄰中豐路一段,2014,1,1,1
寶山鄉雙溪村國道,2014,1,1,0
寶山鄉雙溪村國道,2016,3,0,4
寶山鄉雙豐路,2014,8,1,7
寶山鄉雙豐路,2015,12,0,14
寶山鄉雙豐路,2016,6,0,7
寶山鄉雙豐路,2017,7,0,10
湖口鄉八德路三段,2014,7,1,7
湖口鄉八德路三段,2015,11,2,10
湖口鄉八德路三段,2016,15,0,17
湖口鄉八德路三段,2017,14,0,21
新豐鄉建興路二段,2014,15,1,19
新豐鄉建興路二段,2015,19,1,29
新豐鄉建興路二段,2016,17,0,20
新豐鄉建興路二段,2017,18,0,20
關西鎮仁安里台3線56公里400公尺處北向外側車道,2014,1,1,1
竹東鎮長安路,2014,8,1,8
竹東鎮長安路,2015,1,0,1
竹東鎮長安路,2016,7,0,8
竹東鎮長安路,2017,3,0,5
竹北市中正西路,2014,75,3,99
竹北市中正西路,2015,67,1,90
竹北市中正西路,2016,94,2,123
竹北市中正西路,2017,66,0,87
竹北市東興路一段,2014,22,1,25
竹北市東興路一段,2015,10,0,14
竹北市東興路一段,2016,24,0,29
竹北市東興路一段,2017,8,0,14
新豐鄉忠一街,2014,3,1,2
新豐鄉忠一街,2015,4,0,6
新豐鄉忠一街,2016,1,0,1
新豐鄉忠一街,2017,5,0,9
湖口鄉成功路,2014,83,1,110
湖口鄉成功路,2015,44,0,56
湖口鄉成功路,2016,76,2,90
湖口鄉成功路,2017,56,0,69
湖口鄉德興路,2014,32,1,37
湖口鄉德興路,2015,26,1,28
湖口鄉德興路,2016,27,0,40
湖口鄉德興路,2017,25,0,26
湖口鄉中山路三段,2014,42,1,50
湖口鄉中山路三段,2015,43,0,64
湖口鄉中山路三段,2016,39,0,48
湖口鄉中山路三段,2017,28,0,40
關西鎮118線37公里800公尺處西向內側車道,2014,1,1,0
新豐鄉新興路,2014,122,1,160
新豐鄉新興路,2015,113,0,159
新豐鄉新興路,2016,129,1,185
新豐鄉新興路,2017,102,1,142
竹北市中華路,2014,288,1,382
竹北市中華路,2015,223,1,288
竹北市中華路,2016,357,1,461
竹北市中華路,2017,258,0,322
新豐鄉坡頭漁港路,2014,1,1,0
新豐鄉台15線南下車道,2014,1,1,2
竹東鎮東寧路二段,2014,23,1,30
竹東鎮東寧路二段,2015,17,0,25
竹東鎮東寧路二段,2016,22,0,25
竹東鎮東寧路二段,2017,7,0,8
竹北市福興東路,2014,13,0,16
竹北市福興東路,2015,15,0,19
竹北市福興東路,2016,15,0,17
竹北市福興東路,2017,7,0,8
竹北市大眉里中華路,2014,13,0,23
竹北市大眉里中華路,2015,9,0,14
竹北市大眉里中華路,2016,8,0,10
竹北市大眉里中華路,2017,3,0,3
新豐鄉新興路838巷,2014,2,0,3
竹北市文興路,2014,25,0,28
