蘆竹區坑子里八德一路,2015,8,1,8
蘆竹區坑子里八德一路,2016,1,0,1
桃園區福林里介壽路,2015,11,1,12
桃園區福林里介壽路,2016,6,0,7
桃園區福林里介壽路,2017,14,0,18
蘆竹區南榮里中正路,2015,2,1,1
蘆竹區南榮里中正路,2016,1,0,1
龜山區萬壽路一段,2015,143,1,180
龜山區萬壽路一段,2016,155,0,203
龜山區萬壽路一段,2017,108,0,147
新屋區頭洲里高鐵南路六段,2015,2,1,2
新屋區頭洲里高鐵南路六段,2017,3,0,5
新屋區頭洲里台66線(附近)台66線13公里00公尺處西向內側車道,2015,1,1,0
大園區中正東路一段261巷,2015,3,1,3
大園區中正東路一段261巷,2017,3,0,3
楊梅區秀才里秀才路,2015,8,1,8
楊梅區秀才里秀才路,2016,7,0,10
楊梅區秀才里秀才路,2017,6,0,7
龍潭區三坑里中正路三坑段,2015,3,1,3
龍潭區三坑里中正路三坑段,2016,1,0,1
桃園區大興西路三段,2015,45,1,48
桃園區大興西路三段,2016,36,0,43
桃園區大興西路三段,2017,29,0,36
八德區廣德里新興路,2015,16,2,19
八德區廣德里新興路,2016,8,0,13
八德區廣德里新興路,2017,4,0,5
中壢區民權路三段,2015,9,1,10
中壢區民權路三段,2016,6,0,8
中壢區民權路三段,2017,10,0,12
觀音區台66線7.6K處平面道路,2015,1,1,0
大園區橫峰里中正東路,2015,25,2,26
大園區橫峰里中正東路,2016,18,0,20
大園區橫峰里中正東路,2017,7,0,7
八德區廣興里廣興路,2015,14,1,20
八德區廣興里廣興路,2016,8,0,11
八德區廣興里廣興路,2017,2,0,2
中壢區興和里中豐北路,2015,6,1,10
中壢區興和里中豐北路,2016,5,0,6
中壢區興和里中豐北路,2017,1,0,2
平鎮區民族路二段,2015,13,1,16
平鎮區民族路二段,2016,7,0,7
平鎮區民族路二段,2017,8,0,9
大溪區信義路789巷,2015,3,1,4
大溪區信義路789巷,2016,2,0,2
大溪區信義路789巷,2017,1,0,1
平鎮區北貴里德育路,2015,1,1,2
平鎮區賦梅路,2015,2,1,2
平鎮區賦梅路,2016,2,0,3
平鎮區賦梅路,2017,3,0,4
中壢區成功里成章二街,2015,3,1,4
