西港區後營里173線公路,2014,6,1,9
西港區後營里173線公路,2015,6,0,10
西港區後營里173線公路,2016,2,0,2
安南區十二佃路,2014,1,1,0
安南區十二佃路,2015,1,0,2
安南區十二佃路,2016,4,0,6
柳營區八翁里南外環道路,2014,2,1,3
柳營區八翁里南外環道路,2015,1,0,1
下營區宅內里友愛街126巷,2014,1,1,0
官田區渡頭里隆大高幹80號(附近)臺1線308公里300公尺處北向外側車道,2014,1,1,0
麻豆區小埤里麻海高幹54(附近)171線15公里600公尺處東向外側車道,2014,1,1,0
佳里區六安里台19線公路,2014,1,1,0
佳里區六安里台19線公路,2015,3,0,4
佳里區六安里台19線公路,2016,1,0,2
安南區安明路四段,2014,15,1,19
安南區安明路四段,2015,10,0,16
安南區安明路四段,2016,8,0,9
安南區安明路四段,2017,5,0,6
南區萬年路406巷,2014,2,1,1
南區萬年路406巷,2015,1,0,1
南區萬年路406巷,2016,1,0,1
南區萬年路406巷,2017,1,0,1
歸仁區七甲里南丁路,2014,8,1,10
歸仁區七甲里南丁路,2015,4,0,4
歸仁區七甲里南丁路,2016,4,0,6
歸仁區七甲里南丁路,2017,2,0,3
北區小東路東興路2段,2014,1,1,0
關廟區北花里中正路與中正路813巷,2014,1,1,0
將軍區將貴里45-2號南18線4公里300公尺處東向一般車道,2014,1,1,1
永康區大灣里大灣六街,2014,1,1,1
永康區大灣里大灣六街,2015,1,0,1
永康區大灣里大灣六街,2017,2,0,4
南區國民路140巷,2014,1,1,0
安平區文平路建平七街,2014,5,1,5
安平區文平路建平七街,2015,4,0,4
安平區文平路建平七街,2016,1,0,2
關廟區五甲里南雄路一段,2014,7,1,10
關廟區五甲里南雄路一段,2015,5,1,6
關廟區五甲里南雄路一段,2016,1,0,1
關廟區五甲里南雄路一段,2017,1,0,2
永康區尚頂里中正南路,2014,30,1,38
永康區尚頂里中正南路,2015,22,0,26
永康區尚頂里中正南路,2016,10,0,12
永康區尚頂里中正南路,2017,19,0,23
麻豆區安東里安業1-8號(附近)173線1公里800公尺處北向路,2014,1,1,0
安平區安北路,2014,25,1,37
安平區安北路,2015,35,0,52
安平區安北路,2016,34,0,50
安平區安北路,2017,21,0,32
六甲區龜港里90號旁(附近)臺1線297公里400公尺處北向路,2014,1,1,0
北區和緯路四段,2014,4,1,3
北區和緯路四段,2015,7,0,10
北區和緯路四段,2016,9,0,12
北區和緯路四段,2017,9,0,15
善化區光文里中正路,2014,2,1,1
善化區光文里中正路,2015,1,0,3
善化區光文里中正路,2016,1,0,1
仁德區仁愛里大同路三段,2014,30,2,43
仁德區仁愛里大同路三段,2015,18,0,28
仁德區仁愛里大同路三段,2016,5,0,7
仁德區仁愛里大同路三段,2017,3,0,3
將軍區長榮里產業道路,2014,1,1,1
下營區營前里臺19甲線(附近)臺19甲線11公里200公尺處南向機慢車道,2014,1,1,0
關廟區香洋里花園一街,2014,1,1,0
玉井區豐里里臺84線38公里900公尺處西向內側車道,2014,1,1,0
南區鯤鯓路,2014,3,1,2
南區鯤鯓路,2015,2,0,2
南區鯤鯓路,2017,1,0,1
後壁區國道,2014,5,2,6
後壁區國道,2015,9,0,12
後壁區國道,2016,3,1,2
後壁區國道,2017,9,0,15
仁德區保安里文賢路一段864巷,2014,1,1,0
六甲區王爺里174線347公里200公尺處東向外側車道,2014,1,1,0
佳里區建南里新生路,2014,12,1,17
佳里區建南里新生路,2015,12,0,15
佳里區建南里新生路,2016,10,0,12
佳里區建南里新生路,2017,4,0,5
新營區護鎮里建國路,2014,13,1,16
新營區護鎮里建國路,2015,7,0,10
新營區護鎮里建國路,2016,8,0,11
新營區護鎮里建國路,2017,8,0,11
新營區新東里長榮路與東仁街,2014,1,1,1
善化區文昌里文昌路107巷,2014,5,2,6
善化區文昌里文昌路107巷,2015,1,0,1
柳營區八翁里柳營外環道,2014,2,1,2
柳營區八翁里柳營外環道,2016,1,0,1
柳營區八翁里柳營外環道,2017,1,0,1
永康區崑山里大灣路942巷,2014,37,1,44
永康區崑山里大灣路942巷,2015,16,0,23
永康區崑山里大灣路942巷,2016,6,0,8
永康區崑山里大灣路942巷,2017,2,0,2
永康區王行里中山北路,2014,5,1,4
永康區王行里中山北路,2015,6,1,6
永康區王行里中山北路,2016,8,0,10
永康區王行里中山北路,2017,1,0,1
將軍區長沙里將軍交流道加油站西側111公尺路,2014,1,1,0
永康區鹽行里中正三街,2014,3,1,3
永康區鹽行里中正三街,2015,2,0,2
永康區鹽行里中正三街,2017,2,0,2
後壁區嘉民里臺一線280公里200公尺處北向外側車道,2014,1,1,0
北區長榮路五段,2014,20,1,32
北區長榮路五段,2015,24,0,28
北區長榮路五段,2016,24,0,31
北區長榮路五段,2017,30,0,41
歸仁區西埔里西埔一街,2014,2,1,2
歸仁區西埔里西埔一街,2017,2,0,3
下營區後街,2014,13,1,13
下營區後街,2015,9,0,11
下營區後街,2016,8,0,13
下營區後街,2017,6,0,8
安平區民權路四段,2014,5,1,5
安平區民權路四段,2015,12,0,18
安平區民權路四段,2016,6,0,6
安平區民權路四段,2017,8,0,9
永康區龍潭里中山北路264巷,2014,17,1,25
永康區龍潭里中山北路264巷,2015,2,0,4
永康區龍潭里中山北路264巷,2016,6,0,7
永康區龍潭里中山北路264巷,2017,5,0,7
善化區東昌里東昌1-41號前(附近)臺1線311公里100公尺處北向外側快車車道,2014,1,1,1
關廟區布袋里南雄南路,2014,3,1,3
白河區河東里172線道,2014,1,1,8
白河區河東里172線道,2015,1,0,2
白河區河東里172線道,2016,1,0,1
東區林森路二段,2014,12,1,20
東區林森路二段,2015,24,0,39
東區林森路二段,2016,22,0,28
東區林森路二段,2017,11,0,14
新市區南科三路,2014,19,1,22
新市區南科三路,2015,18,0,20
新市區南科三路,2016,19,0,21
新市區南科三路,2017,14,0,16
安定區大同里牛肉寮25號路燈路段,2014,1,1,0
楠西區灣丘里南188線5公里400公尺處西向一般車道,2014,1,2,2
學甲區新榮里華宗路142巷,2014,2,1,1
玉井區竹圍里臺3線371公里800公尺處南向外側車道,2014,1,3,2
安平區國平路建平七街,2014,2,1,1
安平區國平路建平七街,2015,5,0,6
安平區國平路建平七街,2016,1,0,1
佳里區興化里未命名道路,2014,1,1,0
關廟區北花里中正路,2014,4,1,3
關廟區北花里中正路,2015,4,1,4
關廟區北花里中正路,2017,5,0,7
新市區環東路一段,2014,22,1,30
新市區環東路一段,2015,26,1,29
新市區環東路一段,2016,21,0,21
新市區環東路一段,2017,12,0,14
關廟區五甲路與五甲路280巷,2014,1,1,0
新市區社內里臺1線322公里500公尺處南向外側車道,2014,1,1,1
新市區社內里臺1線322公里500公尺處南向外側車道,2016,1,1,0
永康區三民里正北三路,2014,1,1,0
永康區三民里正北三路,2017,1,0,1
永康區東灣里大灣二街71巷,2014,4,2,3
永康區東灣里大灣二街71巷,2016,1,0,1
麻豆區油車里新生北路,2014,8,1,8
麻豆區油車里新生北路,2015,9,0,11
麻豆區油車里新生北路,2016,7,0,8
麻豆區油車里新生北路,2017,9,0,12
後壁區嘉田里12-14號臺一線道,2014,1,1,0
善化區嘉南里南二高便道,2014,1,1,0
鹽水區水秀里朝琴路,2014,22,1,25
鹽水區水秀里朝琴路,2015,18,0,23
鹽水區水秀里朝琴路,2016,13,0,15
鹽水區水秀里朝琴路,2017,13,0,14
